SSN,Char,Other_ID,Other_ID_2,Char_type,Source,Pyrolysis_Unit,Class,Feedstock,Temp.,Naphthalin (mg/kg),2-Methylnaphthalin,1-Methylnaphthalin,∑Naphthaline,Acenaphthylen,Acenaphthen,Fluoren,Phenanthren ,Anthracen,Fluoranthen,Pyren,Chrysen,Benzo(a)anthracen,Benzo(b+k)fluoranthen,Benzo(a)pyren,"Dibenzo(a,h)anthracen","Indeno(c,d)pyren","Benzo(g,h,i)perylen",∑ PAK nach EPA (mg/kg),Bulk Density (Mg/m-3),External_Surf_Area_N2_(m2/g),Surf_Area_(m2/g),pH,EC_(uS),Ash_avg,Fixed_Carbon_avg,volatile_mass,CEC_(mmol/kg),exchg_Ca_(mmol/kg),exchg_K_(mmol/kg),exchg_Mg_(mmol/kg),exchg_Na_(mmol/kg),exchg_P_(mmol/kg),Ca_(mg/kg),K_(mg/kg),Mg_(mg/kg),Na_(mg/kg),15N,Yield_(w/w),Moisture_105avg,labile_mass_avg,Fixed_Carbon_avg,Ash_Free_Mass_avg,Volatiles_ash_free_avg,C_tot_avg,N_tot_avg,C_tot_to_N_(w/w),Corg_(w/w),Cinorg,H_tot_(w/w),O_ult,Oc_[A_ Si_Fe],Oc_[Al_Si_Fe_Ca],Oc_[Al_Si_Fe_Cinorg],Oc_[Cinorg],mg_Al2O3_O_per_kg_char,mg_SiO2_O_per_kg_char,mg_Fe2O3_O_per_kg_char,mg-CaCO3-O/kg char,Corg_to_N_(w/w),Ctot_to_N_(mol_to_mol),Htot_to_Ctot_(molar),Oult_to_Ctot_(molar),Htot_to_Corg_(molar),Oult_to_Corg_(molar),Oc_[Al_Si_Fe]_to_Corg_(molar),Oc_[Al_Si_Fe_Ca]_to_Corg_(molar),Oc_[Al_Si_Fe_Cinorg]_to_to_Corg_(molar),Oc_[Cinorg]_to_Corg_(molar),pHKCl4.5_avg,P_avg_(mg/kg),S_avg_(mg/kg),Fe_avg_(mg/kg),Mn_avg_(mg/kg),Zn_avg_(mg/kg),Cu_avg_(mg/kg),Mo_avg_(mg/kg),B_avg_(mg/kg),Ni_avg_(mg/kg),Cr_avg_(mg/kg),Co_avg_(mg/kg),As_avg_(mg/kg),Cd_avg_(mg/kg),Pb_avg_(mg/kg),Al_avg_(mg/kg),Ba_avg_(mg/kg),Cd2_avg_(mg/kg),Fe2714_avg_(mg/kg),K4047_avg_(mg/kg),Se_avg_(mg/kg),Si_avg_(mg/kg),Sr_avg_(mg/kg),Ti_avg_(mg/kg),V_avg_(mg/kg),Y_avg_(mg/kg),BJH_Pore_Vol_(cc/g),DFT_Pore_Vol_(cc/g),Decomposition_36_month_perc_remaining,C Stability (%C),Dioxin/Furan (ng/kg i-TEQ),PCBs (ng/kg),Pore Diameter (nm)
WA078205,Boatang Soybean,MIR012,,annual,Cornell ,,crop waste,Soybean,500,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,3790,0.151996125,0.378143306,0.46986057,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,15651.23873,37788.67051,11714.71057,1526.676422,,,0.057210208,0.083422339,0.445921672,0.848003875,0.554078328,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,120.3528625,99.0497846,300.2749597,18743.99848,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,563.5798727,1126.613027,698.7648542,58.17186942,28.36995545,34.73141853,0.941456975,27.82625226,3.16787129,5.79556536,0.638057111,1.296978005,0.279316561,22.20657753,135.2966763,82.55627048,0.360345616,694.3827291,39404.51026,-1.989712586,86.94713905,56.88001101,-0.440301112,0.269888586,0.630094267,#DIV/0!,#DIV/0!,,,,,
WA078206,Boatang Switchgrass,MIR013,,annual,Cornell ,,grass,Switchgrass,500,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,506,0.412163573,0.237002302,0.350834125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,9711.536797,5353.731579,2952.655535,531.6845137,,,0.037162015,0.022086958,0.403177297,0.587836427,0.596822703,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,208.9305766,279.4163096,221.6128074,11630.58299,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1161.484972,767.1262417,515.7114706,129.0327669,70.78745903,52.48172096,2.015181846,13.27833701,53.68819592,68.55930917,1.267974156,0.70281795,0.301120819,17.10179418,234.8727899,51.90071585,0.03489662,512.361747,5255.86682,-0.069981195,245.2751292,19.14838746,0.887006628,0.388124046,0.248610252,#DIV/0!,#DIV/0!,,,,,
WA078207,Bull Manure w/ Sawdust 300°C,MIR014,,cow,Cornell ,,mixed ,Cow,300,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.076714211,0.36780597,0.555479819,335.46,149.9395463,264.3387444,97.15419878,42.0048727,,9411.63581,20016.85931,3952.051703,2711.553062,,0.4715,0.041642027,0.073999609,0.398366329,0.923285789,0.601633671,0.595342114,0.013057486,45.5939303,0.60616629,-0.010824176,0.049170718,0.265715471,0.265000116,0.037183942,0.308296821,0.309012177,310.8000686,242.9420938,161.6137699,11271.42013,46.4228935,53.1709645,0.984159541,0.33502195,0.966585623,0.329039538,0.328153701,0.046045445,0.381768675,0.382654511,#DIV/0!,3013.567573,1102.274413,376.0887103,136.9572532,161.8329513,52.67348953,1.168481889,20.81913067,2.336834686,1.579039236,1.101354796,0.328626985,0.325835789,3.784144931,349.3910771,58.35619014,0.273753138,373.6376554,18421.8997,1.302705509,213.2576067,46.8225927,79.75451271,0.643837255,0.431361904,#DIV/0!,#DIV/0!,90.36258145,,,,
WA078208,Bull Manure w/ Sawdust 350°C,MIR015,,cow,Cornell ,,mixed ,Cow,350,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.083282646,0.330158767,0.586558587,378.43,150.5626654,297.8057568,90.4308952,39.0931167,,10518.39475,24389.12495,4276.926911,3061.809994,,0.375,0.054587035,0.043965777,0.360153285,0.916717354,0.639846715,0.624855259,0.013145918,47.5322639,0.663383116,-0.038527857,0.040433364,0.238282813,0.237736196,0.027289867,0.391847623,0.39239424,265.4941324,142.5844552,138.53822,12596.87994,50.4630486,55.4314204,0.77105615,0.286243948,0.726274876,0.269619518,0.269001016,0.030878773,0.443379723,0.443998225,#DIV/0!,2644.27189,857.2176546,322.3899827,150.4954078,132.9637504,35.59947225,0.877514999,27.76293562,2.359017055,2.039691699,1.192763675,-1.396874636,0.219358993,3.544471747,298.4596539,58.90177432,0.212378164,319.0410221,22621.23299,-0.630801765,125.1624171,45.62466392,86.6064669,1.078259971,0.425946683,#DIV/0!,#DIV/0!,103.1778228,,,,
WA078209,Bull Manure w/ Sawdust 400°C,MIR016,,cow,Cornell ,,mixed ,Cow,400,,,,,,,,,,,,,,,,,,,,,3.1,393.1,#DIV/0!,#DIV/0!,0.093615913,0.536782592,0.369601495,367.25,214.4693461,377.3486231,122.7585185,46.93299929,,10087.80368,28938.94618,4841.276445,3089.354164,,0.304,0.047774401,0.04062,0.592224201,0.906384087,0.407775799,0.68534573,0.011998427,57.1196318,0.679326826,0.006018904,0.03474837,0.174291561,0.173631425,0.022007032,0.149555809,0.150215945,277.6434626,272.645381,109.8471529,12081.20201,56.6179907,66.6120664,0.604157656,0.190892855,0.609510554,0.192584184,0.191854764,0.024316761,0.165252313,0.165981733,#DIV/0!,3118.734029,859.4014425,255.6234787,141.1235527,164.5647008,41.98544145,0.755585851,19.81388433,2.448800441,1.197472571,1.15673853,-0.655204242,0.184513326,5.008169301,312.1175259,75.47639204,0.348199476,255.1119858,27736.48482,1.007644039,239.3315235,52.23154497,42.04302696,0.64429767,0.512825249,0.002,0.07,100.7493386,,,,
WA078210,Bull Manure w/ Sawdust 450°C,MIR017,,cow,Cornell ,,mixed ,Cow,450,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0928315,0.445219374,0.461949126,463.78,210.4759717,528.1615757,127.9682238,57.1525201,,8449.779597,30404.65154,4313.842671,2926.753178,,0.278,0.045358094,0.031480686,0.490779137,0.9071685,0.509220863,0.707640167,0.010666062,66.3450274,0.714873863,-0.007233696,0.032990054,0.155872217,0.15544311,0.022441451,0.184377896,0.184807003,242.8586355,110.6947047,75.55345315,10119.49652,67.0232249,77.3705858,0.555515419,0.165340506,0.549894245,0.163667451,0.163216884,0.023563757,0.19359871,0.194049277,#DIV/0!,2508.015181,917.0088436,175.8191816,121.3466569,138.3407113,30.96054087,1.605225772,25.18413649,2.173668812,1.002330444,0.976374458,-0.196530689,0.227755403,5.373425905,273.0135827,66.88148072,0.27287162,173.1070331,29797.15922,2.05336922,97.1691955,48.17105481,42.25052159,0.545660843,0.271895819,#DIV/0!,#DIV/0!,89.05658842,,,,
WA078211,Bull Manure w/ Sawdust 500°C,MIR018,,cow,Cornell ,,mixed ,Cow,500,,,,,,,,,,,,,,,,,,,,,3,433.5,#DIV/0!,#DIV/0!,0.103503863,0.591867586,0.304628551,264.3950665,208.4632411,590.2035238,114.0369277,59.7508402,,9431.892069,33476.78426,4925.205878,3517.909885,,0.268,0.055882202,0.04344,0.660200933,0.896496137,0.339799067,0.686375076,0.010585511,64.8409952,0.740776915,-0.054401839,0.025950976,0.173584574,0.172443195,0.013513919,0.390050551,0.391191929,327.8490324,698.8916458,114.6374894,11295.67912,69.9802689,75.6166058,0.450523821,0.189833409,0.417437849,0.175892253,0.174735701,0.013693577,0.395235986,0.396392538,#DIV/0!,3114.928489,928.1989357,266.770991,145.8288248,167.1401621,42.5175033,1.389509453,39.27059669,2.271254203,1.296343163,1.22844763,-0.456340559,0.160799161,1.080377923,368.5569539,76.8697838,-0.013882969,263.6313397,32449.55634,0.949748321,613.4958228,55.37278617,46.01180501,0.718939632,0.558936937,#DIV/0!,0.08,95.86434686,,,,
WA078212,Bull Manure w/ Sawdust 550°C,MIR019,,cow,Cornell ,,mixed ,Cow,550,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.108937245,0.500641568,0.390421187,314.51,134.2067687,482.2585091,79.79751811,63.51093846,,11108.97376,32808.08122,5217.739889,3155.839457,,0.284,0.057777073,0.044827367,0.56184771,0.891062755,0.43815229,0.723656798,0.010515005,68.8213463,0.743285681,-0.019628883,0.022879239,0.134011713,0.132996114,0.008559479,0.211511646,0.212527245,361.8255167,474.3937238,179.3800754,13304.16019,70.688096,80.2584321,0.376733716,0.139005869,0.366784833,0.135334966,0.134309338,0.008643997,0.213600145,0.214625772,#DIV/0!,3063.777913,1018.746297,417.4323838,177.8487002,319.5302257,44.23673994,2.796009865,30.02097365,14.00828242,18.57461581,1.403784709,-0.052034278,-0.011323302,2.470964163,406.7521851,79.53780033,0.079178041,413.0128518,31621.6162,0.677686094,416.4287407,56.4654204,51.35836307,0.754245752,0.535016088,#DIV/0!,#DIV/0!,94.50250286,,,,
WA078213,Bull Manure w/ Sawdust 600°C,MIR020,,cow,Cornell ,,mixed ,Cow,600,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.106232667,0.593683624,0.30008371,335.46,88.26122695,464.1237221,67.68368136,54.35031308,,9385.819709,35819.93858,5071.437358,2937.435098,,0.247,0.049318086,0.054208477,0.664248515,0.893767333,0.335751485,0.724583994,0.00810737,89.3734965,0.760010699,-0.035426705,0.018091073,0.142984896,0.142407525,0.0062732,0.284114345,0.284691716,277.8939022,165.870531,133.6064576,11240.50265,93.7431879,104.2260445,0.297509723,0.148123666,0.283641774,0.141219114,0.140648874,0.006195729,0.280605695,0.281175935,#DIV/0!,2952.499144,1022.807682,310.9133608,164.8607365,193.110788,50.17372119,1.064346919,30.98601912,1.783554911,0.877443247,1.011914617,-0.742445114,0.139791483,6.80362364,312.3990617,76.54481778,-0.032767564,306.3801587,35453.30362,0.694246299,145.6032255,51.30760598,26.76923651,0.659902117,0.485362313,#DIV/0!,#DIV/0!,106.1737319,,,,
WA078214,Carbonized Rice Husks (Australian char),MIR021,,annual,Cornell ,,crop waste,Rice,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,314,0.608405061,0.159629051,0.231965889,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,1636.558063,6703.401491,834.5755955,596.7439498,,,0.3046284,0.022675945,0.407638186,0.391594939,0.592361814,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,51.51610371,947.0805386,12.37707022,1959.949776,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,442.3040482,171.2838607,28.80247382,21.57551922,28.83621352,47.1400372,0.672840366,9.389483608,1.34513058,0.676776705,0.348376842,0.639941387,-0.00613528,28.8277404,57.91268659,12.32067134,0.017911577,30.27407487,6592.977589,0.906311484,831.3591353,8.40625692,0.690340417,0.209790936,0.189467386,#DIV/0!,#DIV/0!,,,,,
